instrument_id,signal_date,session_date,exit,entry_price,stop_price,exit_date,exit_price,exit_reason,per_dollar,excess_over_spy,levered,pullback,spy_above_200
MTG,2019-06-17,2019-06-18,wide,13.8369150000,12.69485499193624252099981232,2019-08-01,12.68419131374301607728217248,stop,-0.083308,-0.091653,False,True,True
SHOP,2019-06-17,2019-06-18,base,30.4362105000,28.46477305639984550217536305,2019-06-19,32.38042551932753036804646425,target,0.063878,0.061621,False,False,True
SHOP,2019-06-17,2019-06-18,wide,30.4362105000,26.49333561279969100435072611,2019-09-12,35.6451665010,time,0.171143,0.14074,False,False,True
BL,2019-06-18,2019-06-19,base,52.3361560005,48.50628715786156547599673037,2019-07-02,48.46554187664896176099689312,stop,-0.073957,-0.085456,False,True,True
BL,2019-06-18,2019-06-19,wide,52.3361560005,44.67641831522313095199346075,2019-07-31,44.63889012383834352199378624,stop,-0.147074,-0.161985,False,True,True
V,2019-06-24,2019-06-25,base,171.3656389995,166.1110238639846179431097291,2019-07-03,176.4718931215419691359624831,target,0.029797,0.002146,False,False,True
V,2019-06-24,2019-06-25,wide,171.3656389995,160.8564087284692358862194583,2019-09-19,175.8720269965,time,0.026297,-0.009196,False,False,True
FIVN,2019-06-25,2019-06-26,base,49.3946839995,45.33900324296555794846387824,2019-07-09,53.40546644963937312021283142,target,0.081199,0.058064,False,True,True
FIVN,2019-06-25,2019-06-26,wide,49.3946839995,41.28332248643111589692775648,2019-09-20,58.4007850000,time,0.182329,0.155442,False,True,True
PCTY,2019-06-26,2019-06-27,base,94.7473469985,87.49809757894650925937350860,2019-07-09,101.9109192770623258084043651,target,0.075607,0.056087,False,True,True
PCTY,2019-06-26,2019-06-27,wide,94.7473469985,80.24884815939301851874701721,2019-09-23,100.3098209995,time,0.058708,0.03569,False,True,True
BLKB,2019-06-28,2019-07-01,base,82.3911729990,77.59949353149220552404156432,2019-07-26,87.10961887043592792859863059,target,0.057269,0.035791,False,False,True
BLKB,2019-06-28,2019-07-01,wide,82.3911729990,72.80781406398441104808312864,2019-09-25,91.3642989980,time,0.108909,0.10228,False,False,True
XYL,2019-07-09,2019-07-10,base,80.4301939995,77.62504923636735309583657975,2019-07-25,83.16542107807203548076392298,target,0.034007,0.029353,False,True,True
XYL,2019-07-09,2019-07-10,wide,80.4301939995,74.81990447323470619167315950,2019-08-05,74.75705575347718903847215405,stop,-0.070535,-0.021006,False,True,True
PMT,2019-07-17,2019-07-18,base,22.1210560005,21.59976986209314142647200325,2019-08-02,21.49842760000,stop_gap,-0.028146,-0.007365,False,False,True
PMT,2019-07-17,2019-07-18,wide,22.1210560005,21.07848372368628285294400650,2019-10-11,22.3588159995,time,0.010748,0.019281,False,False,True
TRMB,2019-07-24,2019-07-25,base,44.5022400000,43.06860588790747799827483130,2019-07-31,43.03242825896163571675628044,stop,-0.033028,-0.024461,False,False,True
TRMB,2019-07-24,2019-07-25,wide,44.5022400000,41.63497177581495599654966261,2019-08-01,40.68562480000,stop_gap,-0.085762,-0.068562,False,False,True
PODD,2019-07-26,2019-07-29,base,125.1725560005,119.4548823553871954901988222,2019-08-02,119.3545402542086702459870552,stop,-0.04648,-0.017156,False,False,True
PODD,2019-07-26,2019-07-29,wide,125.1725560005,113.7372087102743909803976443,2019-10-22,150.7945600025,time,0.204693,0.212821,False,False,True
ALG,2019-07-31,2019-08-01,base,109.4547020010,104.9848425970699123169697390,2019-08-06,104.8966553292883735906234844,stop,-0.041643,-0.017766,False,False,True
ALG,2019-07-31,2019-08-01,wide,109.4547020010,100.5149831931398246339394780,2019-10-25,121.4992180010,time,0.110041,0.087113,False,False,True
NOW,2019-07-31,2019-08-01,base,54.8273989995,51.67874006029528523675166220,2019-08-05,50.80921144378,stop_gap,-0.073288,-0.035912,False,True,True
NOW,2019-07-31,2019-08-01,wide,54.8273989995,48.53008112109057047350332440,2019-10-18,48.48931585294885439430558161,stop,-0.115601,-0.126217,False,True,True
LHX,2019-08-01,2019-08-02,base,204.5222079990,194.8231589452425434880337553,2019-08-08,214.0413111968331402484961931,target,0.046543,0.043126,False,False,True
LHX,2019-08-01,2019-08-02,wide,204.5222079990,185.1241098914850869760675106,2019-10-28,200.4897010020,time,-0.019717,-0.056215,False,False,True
QCOM,2019-08-02,2019-08-05,base,68.8344030015,64.65900949020130107277878997,2019-08-16,72.94846828372794802012234421,target,0.059768,0.042045,False,True,True
QCOM,2019-08-02,2019-08-05,wide,68.8344030015,60.48361597890260214555757994,2019-10-29,81.6191739980,time,0.185732,0.117414,False,True,True
BNO,2019-08-06,2019-08-07,base,17.0585239995,16.10762874603384899646375564,2019-08-13,17.99429134079365943669327391,target,0.054856,0.038952,False,True,True
BNO,2019-08-06,2019-08-07,wide,17.0585239995,15.15673349256769799292751128,2019-10-31,18.2808559995,time,0.071655,0.018316,False,True,True
FIS,2019-08-07,2019-08-08,base,136.4581939995,129.8264728875217486655769471,2019-09-06,137.6011630010,time,0.008376,-0.006712,False,False,True
FIS,2019-08-07,2019-08-08,wide,136.4581939995,123.1947517755434973311538942,2019-11-01,134.0829190030,time,-0.017407,-0.060047,False,False,True
SMPL,2019-08-08,2019-08-09,base,26.2631250000,24.79307427857864545885959472,2019-08-13,27.70987985381536060332584734,target,0.055087,0.051898,False,True,True
SMPL,2019-08-08,2019-08-09,wide,26.2631250000,23.32302355715729091771918944,2019-10-29,23.30343221736927879334830532,stop,-0.112694,-0.152437,False,True,True
CWEN,2019-08-09,2019-08-12,base,17.3486700000,16.54526605558066023833071551,2019-09-10,17.9410259995,time,0.034144,-0.000778,False,True,True
CWEN,2019-08-09,2019-08-12,wide,17.3486700000,15.74186211116132047666143103,2019-11-05,18.9305309995,time,0.091181,0.025363,False,True,True
SMG,2019-08-09,2019-08-12,base,109.5847639995,104.9296117825715894379296127,2019-08-23,104.8414709086742293028017518,stop,-0.043284,-0.032106,False,False,True
SMG,2019-08-09,2019-08-12,wide,109.5847639995,100.2744595656431788758592255,2019-09-19,100.1902290196080386056035038,stop,-0.085728,-0.130891,False,False,True
BX,2019-08-13,2019-08-14,base,45.8729229990,43.02354341293221819142249708,2019-08-20,48.68137585089632487185829782,target,0.061222,0.039419,False,False,True
BX,2019-08-13,2019-08-14,wide,45.8729229990,40.17416382686443638284499416,2019-11-07,51.3743019990,time,0.119926,0.034403,False,False,True
EGHT,2019-08-14,2019-08-15,base,24.8123989995,23.09467810368755987490794294,2019-08-28,23.07527857408046232461302027,stop,-0.07001,-0.084906,False,True,True
EGHT,2019-08-14,2019-08-15,wide,24.8123989995,21.37695720787511974981588588,2019-09-27,21.35900056382050464922604054,stop,-0.13918,-0.176946,False,True,True
FDS,2019-08-16,2019-08-19,base,277.5687079965,264.9380220982250189460049828,2019-09-10,264.7154741596625099300903386,stop,-0.046306,-0.066147,False,True,True
FDS,2019-08-16,2019-08-19,wide,277.5687079965,252.3073361999500378920099655,2019-09-26,248.85575898866,stop_gap,-0.103444,-0.11942,False,True,True
PAGS,2019-08-20,2019-08-21,base,51.3356560005,46.31019566318078019819451483,2019-09-10,46.27129509882370834282803144,stop,-0.098652,-0.118074,False,False,True
PAGS,2019-08-20,2019-08-21,wide,51.3356560005,41.28473532586156039638902966,2019-10-15,41.25005614818783668565606288,stop,-0.196464,-0.21845,False,False,True
CCOI,2019-08-21,2019-08-22,base,60.0600139995,57.06891133175081293711292591,2019-09-13,57.02097344623214225424575105,stop,-0.0506,-0.080461,False,False,True
CCOI,2019-08-21,2019-08-22,wide,60.0600139995,54.07780866400162587422585182,2019-09-16,54.03238330472386450849150210,stop,-0.10036,-0.12704,False,False,True
