instrument_id,signal_date,session_date,arm,paid_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
KTOS,2025-11-05,2025-11-06,A,0,77.950000,66.36801077598397391207360157,2025-11-21,66.32779044758966674318203451,stop,86,-1.003472661527858067683571088,-0.149098
KTOS,2025-11-05,2025-11-06,C,4.142502071251035625517812759,72.38997514498757249378624687,60.80798592097154640585984844,2025-12-05,76.46830985915492957746478873,time,86,0.3521273103682965281647971727,0.056338
KTOS,2025-11-05,2025-11-06,X,0,72.410000,60.82801077598397391207360157,2025-12-05,76.46830985915492957746478873,time,86,0.3503983452807704030699290337,0.056046
RLAY,2025-11-10,2025-11-11,O,32.73322422258592471358428805,6.130000000000000000000000001,5.298805859695155463956193686,2025-11-24,6.955511532843371193565403209,target,1203,0.9931633210751591460167422159,0.134667
RLAY,2025-11-10,2025-11-11,A,0,6.110000,5.278805859695155463956193685,2025-11-24,6.935527859373983438463362391,target,1203,0.9931829633341941496352913133,0.135111
RLAY,2025-11-10,2025-11-11,C,7.905138339920948616600790515,6.335003952569169960474308300,5.503809812264325424430501985,2025-11-24,7.160348135247178566316875338,target,1203,0.9929619840381809844199699773,0.130283
RLAY,2025-11-10,2025-11-11,X,0,6.290000,5.458805859695155463956193685,2025-11-24,7.115380920598473234381729738,target,1203,0.9930061830028791170683494295,0.131221
CRDO,2025-11-13,2025-11-14,O,18.56941246378964569561019090,135.2506870682611602168907376,108.0836438048281003921792958,2025-11-26,162.3025054292596543640617704,target,36,0.9957586513439370555238448338,0.200012
CRDO,2025-11-13,2025-11-14,A,0,135.000000,107.8329567365669401752885582,2025-11-26,162.0519962073021151182380476,target,36,0.9957651977428917166240446286,0.200385
CRDO,2025-11-13,2025-11-14,C,5.52486187845303867403314917,144.9300276243093922651933702,117.7629843608763324404819284,2025-11-28,171.9749791175778430735240140,target,36,0.9955058867105738743319111060,0.186607
CRDO,2025-11-13,2025-11-14,X,0,145.520000,118.3529567365669401752885582,2025-11-28,172.5645329459258102636723235,target,36,0.9954904802734956107977533234,0.185848
ABVX,2025-11-14,2025-11-17,O,29.10230579807477053951197672,112.2858294157152451309603761,101.5626570112074679783523923,2025-11-20,122.9223299852255073832452538,target,93,0.9919173326952124692768668610,0.094727
ABVX,2025-11-14,2025-11-17,A,0,111.960000,101.2368275954922228473920162,2025-11-20,122.5967301481015712148573352,target,93,0.9919387422727748381303112824,0.095005
ABVX,2025-11-14,2025-11-17,C,13.61022083680906177284102384,114.0149659744479079773455679,103.2917935699401308247375841,2025-11-20,124.6502481986640129896470845,target,93,0.9918037147052932663174629748,0.09328
ABVX,2025-11-14,2025-11-17,X,0,113.620000,102.8968275954922228473920162,2025-11-20,124.2555605162537642745719732,target,93,0.9918296671032554845360068754,0.093606
