regime,arm,period,instrument_id,signal_date,entry_date,exit_date,entry_price,stop_price,exit_price,shares,initial_risk_per_share,costs,mfe,mae,exit_reason,gross_r,net_r,holding_days
1x,A,primary,AEP,2019-05-13,2019-05-14,2019-06-12,86.3431530015,83.90150317363084812938488299,89.3453040005,409,2.44164982786915187061511701,4.090,1.935923384486774961693051633,-0.6483939602762895191073273808,time,1.229558376771824880029482446,1.225462785386909917329335189,29
1x,A,primary,AEP,2019-08-21,2019-08-22,2019-09-20,91.3256389995,88.48510311540852098316731125,93.1334100000,352,2.84053588409147901683268875,3.520,0.7865977025721118527949747531,-0.8011291151943474255317590092,time,0.6364189977759073491042068692,0.6328985352969767532203384087,29
1x,A,primary,AEP,2019-09-24,2019-09-25,2019-10-02,94.6472979990,92.26813153540929520658008712,92.22199746964159055897679708,420,2.37916646359070479341991288,4.200,0.09780694397011806288524436718,-1.247200666455961466689501505,stop,-1.019390852415630397246768465,-1.023594005138667573624042399,7
1x,A,primary,AEP,2019-10-24,2019-10-25,2019-10-28,95.7378470010,93.45874964415151033385341409,93.41202026932943457868648738,438,2.27909735684848966614658591,4.380,0.009720953312251515581794726565,-1.253939412641767535971614122,stop,-1.020503457073326877098938959,-1.024891159059795716741763916,3
1x,A,primary,AEP,2019-12-05,2019-12-06,2020-01-07,92.2460969985,89.94298318931769236068522372,93.6431569990,434,2.30311380918230763931477628,4.340,1.530058995543566972946804343,-0.8406440840139759509120634966,time,0.6065961633897757961100434938,0.6022542155623905842741825937,32
1x,A,primary,AEP,2020-01-15,2020-01-16,2020-02-14,96.7383470010,94.73669521373089291032231479,103.7081219990,499,2.00165178726910708967768521,4.990,4.112430569270296251583804745,-0.04913342151992285955422605714,time,3.482011727678669395727831807,3.477015853739155072548632053,29
1x,A,primary,AEP,2020-07-22,2020-07-23,2020-07-27,89.1845689995,84.95361696826526793086290308,84.91114015978113529689747163,236,4.23095203123473206913709692,2.360,0.1761851694363120730514716770,-2.352795759916693648521718771,stop,-1.010039539132221381635357584,-1.012403073373729118246473634,4
1x,A,primary,AEP,2020-10-05,2020-10-06,2020-11-03,86.6633130015,83.00247467894948604895443516,90.8445540005,273,3.66083832255051395104556484,2.730,2.061463887113760215539848035,-0.08285315405261652601491402976,time,1.142153963272248631409689295,1.139422348511115728265567778,28
1x,A,primary,AEP,2021-03-16,2021-03-17,2021-04-15,83.4116880015,79.93739684611870070503443675,87.7660930010,287,3.47429115538129929496556325,2.870,1.297620089069713667939429443,-0.6250742682104487072645011303,time,1.253321844588499740832303911,1.250443559622511473803555511,29
1x,A,primary,AEP,2021-04-16,2021-04-19,2021-05-12,88.5942780015,85.81124497443390175319215445,85.76833935194668480231555837,359,2.78303302706609824680784555,3.590,0.7278839233307769684575214264,-1.345395460666615983636583324,stop,-1.015416857101566090631555943,-1.019010059159445404344618765,23
1x,A,primary,AEP,2021-07-14,2021-07-15,2021-08-12,85.9829720010,83.61164027414392558677204704,88.9055220015,421,2.37133172685607441322795296,4.210,1.689778765922614588456673498,-0.5789873198467651969059664834,time,1.232450933541354007185556678,1.228233893855701060194391738,28
1x,A,primary,AEP,2021-08-16,2021-08-17,2021-09-15,90.0750139995,87.47144780881268569888335275,87.42771208490827935603391107,384,2.60356619068731430111664725,3.840,0.5434791731284769034236642791,-1.088897224752939876278342808,stop,-1.016798391399014352773241471,-1.020639277041088274607834429,29
1x,A,primary,AEP,2021-10-22,2021-10-25,2021-11-04,85.6127850000,83.22923325791513480763267245,83.18761864128617724022885611,419,2.38355174208486519236732755,4.190,0.1079137471440055187564478001,-1.180080109165027840426403891,stop,-1.017459078355294163931196949,-1.021654498082685152071857704,10
1x,A,primary,AEP,2021-12-15,2021-12-16,2022-01-14,87.1835689995,84.24789801810647161580898120,90.9345129985,340,2.93567098139352838419101880,3.400,1.497590509415011186721985695,-0.5598611049797609332249336053,time,1.277712666975871775565501587,1.274306290694816901369376587,29
1x,A,primary,AEP,2022-02-28,2022-03-01,2022-03-29,90.3951729990,86.68982746100446800040618540,98.6406569990,269,3.70534553799553199959381460,2.690,2.270996028497827727066293844,-0.1984076765476781522175558374,time,2.225294217623906419997752349,2.222595413990761408231314196,28
